date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-05-30,84.1366,84.4288,83.7777,83.9113,11488959,11488959,-0.617667,-0.731,84.9852,"May 30, 14",0.11125045854428574
2014-06-02,83.9113,84.2034,83.1934,83.4188,7762537,7762537,-0.492469,-0.587,83.6149,"Jun 2, 14",0.10472820408233541
2014-06-03,83.1267,84.0448,83.1267,83.7944,9384234,9384234,0.375614,0.45,83.7582,"Jun 3, 14",0.10970233357656592
2014-06-04,83.6442,83.8487,83.4355,83.5023,7154661,7154661,-0.292144,-0.349,83.601,"Jun 4, 14",0.10583400763070672
2014-06-05,83.5523,84.1617,83.4355,83.928,12296438,12296438,0.42569,0.51,83.8598,"Jun 5, 14",0.11147161925396
2014-06-06,83.978,84.8294,83.9697,84.8044,9342474,9342474,0.876425,1.044,86.6064,"Jun 6, 14",0.12307792140716482
2014-06-09,84.6792,85.1049,84.4622,84.7376,6404983,6404983,-0.066775,-0.079,84.7815,"Jun 9, 14",0.12219327856846779
2014-06-10,84.7042,84.9129,84.3036,84.6875,7917532,7917532,-0.050082,-0.059,84.5359,"Jun 10, 14",0.121529796439445
2014-06-11,84.4622,85.4137,84.3036,85.0965,10270318,10270318,0.409,0.483,85.026,"Jun 11, 14",0.12694624735302423
2014-06-12,85.5222,85.927,84.7793,84.8545,11421250,11421250,-0.242062,-0.284,85.3945,"Jun 12, 14",0.12374140353618761
2014-06-13,85.0798,85.6851,84.8294,85.6808,8241548,8241548,0.826339,0.974,85.4018,"Jun 13, 14",0.13468422356036966
2014-06-16,85.614,86.1816,85.2802,85.9062,8977642,8977642,0.225368,0.263,85.8988,"Jun 16, 14",0.13766923098315867
2014-06-17,85.6224,85.6307,84.6792,85.4888,9355388,9355388,-0.417343,-0.486,85.4283,"Jun 17, 14",0.13214153755692898
2014-06-18,85.614,85.9312,85.1883,85.7476,9575877,9575877,0.258753,0.303,85.5969,"Jun 18, 14",0.1355688663990667
2014-06-19,85.6474,85.8394,84.8712,85.6641,11107691,11107691,-0.083469,-0.097,85.315,"Jun 19, 14",0.1344630628506954
2014-06-20,86.2067,86.8577,85.9229,86.6657,17681113,17681113,1.0016,1.169,86.8158,"Jun 20, 14",0.14772740816864366
2014-06-23,86.8994,87.3168,86.7075,87.1248,8553670,8553670,0.45908,0.53,87.0058,"Jun 23, 14",0.15380734121124548
2014-06-24,86.9579,87.1999,85.5306,85.7476,9708408,9708408,-1.3772,-1.581,78.4259,"Jun 24, 14",0.1355688663990667
2014-06-25,85.422,85.6558,84.746,85.2551,10716273,10716273,-0.492466,-0.574,85.1563,"Jun 25, 14",0.12904661193711617
2014-06-26,85.0882,85.4554,84.1784,85.1633,8424551,8424551,-0.091817,-0.108,84.9839,"Jun 26, 14",0.12783089019172125
2014-06-27,84.8628,84.963,84.0198,84.4789,15149918,15149918,-0.684443,-0.804,87.9971,"Jun 27, 14",0.11876727404195692
2014-06-30,84.4789,84.5289,83.9029,84.0365,9536536,9536536,-0.442384,-0.524,84.5057,"Jun 30, 14",0.11290850170902937
2014-07-01,84.4288,84.796,84.1283,84.6041,8404213,8404213,0.567587,0.675,84.5183,"Jul 1, 14",0.12042531720670054
2014-07-02,84.4288,84.8378,84.337,84.7793,6954442,6954442,0.175285,0.207,84.6736,"Jul 2, 14",0.12274551818484011
2014-07-03,85.0965,86.1983,84.8712,85.6307,6922616,6922616,0.851381,1.004,85.4335,"Jul 3, 14",0.13402074143134687
2014-07-07,85.4137,85.6808,85.1549,85.6808,7980994,7980994,0.050079,0.058,85.4718,"Jul 7, 14",0.13468422356036966
2014-07-08,85.4137,86.1649,85.2802,85.831,9615023,9615023,0.150247,0.175,85.9286,"Jul 8, 14",0.13667334563181116
2014-07-09,85.9396,86.5489,85.8144,86.432,7659029,7659029,0.600976,0.7,86.3287,"Jul 9, 14",0.14463248254883085
2014-07-10,85.8728,86.0314,85.1716,85.614,8533731,8533731,-0.817994,-0.946,85.5767,"Jul 10, 14",0.1337995807216726
2014-07-11,85.4721,85.5556,84.5707,84.9212,7689643,7689643,-0.692792,-0.809,84.867,"Jul 11, 14",0.12462472205925781
2014-07-14,85.2802,86.0397,85.2718,85.7058,8253348,8253348,0.784607,0.924,85.7423,"Jul 14, 14",0.13501530246706753
2014-07-15,85.5806,85.6391,84.9212,85.4638,8760545,8760545,-0.242059,-0.282,85.3676,"Jul 15, 14",0.1318104586502311
2014-07-16,85.6057,86.6323,85.589,86.6157,8879502,8879502,1.1519,1.348,86.3989,"Jul 16, 14",0.14706525035524773
2014-07-17,86.2901,86.7116,85.3803,85.397,8145741,8145741,-1.2186,-1.407,85.9326,"Jul 17, 14",0.13092581581153406
2014-07-18,85.7142,85.9396,85.0214,85.7476,8208309,8208309,0.35057,0.411,85.6022,"Jul 18, 14",0.1355688663990667
2014-07-21,85.4387,86.1315,85.1883,86.0397,6632386,6632386,0.292141,0.341,85.7853,"Jul 21, 14",0.1394371923449259
2014-07-22,86.5071,86.9662,86.3903,86.4237,7426442,7426442,0.383958,0.446,86.5896,"Jul 22, 14",0.14452256435180705
2014-07-23,86.5071,87.1832,86.4153,87.0163,7017078,7017078,0.592629,0.686,86.9164,"Jul 23, 14",0.1523704587561763
2014-07-24,87.1582,87.4086,86.7659,87.0413,7943024,7943024,0.025042,0.029,87.1599,"Jul 24, 14",0.15270153766287436
2014-07-25,86.7492,86.7993,85.9396,86.1232,7784729,7784729,-0.918161,-1.055,86.2219,"Jul 25, 14",0.1405429958932972
2014-07-28,86.5823,86.9328,85.614,86.1816,11072138,11072138,0.05843,0.068,86.0956,"Jul 28, 14",0.1413163962193438
2014-07-29,86.9829,87.442,86.407,86.432,8055421,8055421,0.250406,0.291,86.8285,"Jul 29, 14",0.14463248254883085
2014-07-30,86.5823,86.9328,85.614,86.1816,11072188,11072188,-0.250406,-0.29,86.0956,"Jul 30, 14",0.1413163962193438
2014-07-31,85.1216,85.1216,82.5758,82.5841,18297904,18297904,-3.5975,-4.174,83.5717,"Jul 31, 14",0.09367414154550291
2014-08-01,82.317,83.0933,81.9497,82.4673,14915613,14915613,-0.116857,-0.142,82.5023,"Aug 1, 14",0.09212734089340974
2014-08-04,82.4172,83.8278,82.0583,83.5774,12152078,12152078,1.1101,1.346,83.0262,"Aug 4, 14",0.10682856866642737
2014-08-05,83.0348,83.0849,81.6159,81.9664,13071813,13071813,-1.6109,-1.927,82.3247,"Aug 5, 14",0.08549384391880877
2014-08-06,81.9664,83.1767,81.9664,82.6175,9916916,9916916,0.651055,0.794,82.6915,"Aug 6, 14",0.09411646296485143
2014-08-07,83.2769,83.3353,81.4907,82.0249,10017398,10017398,-0.592626,-0.717,82.205,"Aug 7, 14",0.08626856856048219
2014-08-08,82.4756,83.2936,82.0666,83.2519,11206941,11206941,1.227,1.496,82.7847,"Aug 8, 14",0.10251792130121964
2014-08-11,83.4452,83.5628,82.819,82.9829,8595196,8595196,-0.268962,-0.323,83.0984,"Aug 11, 14",0.09895551226514919
2014-08-12,82.5458,82.9493,82.218,82.7812,9585001,9585001,-0.201718,-0.243,82.5896,"Aug 12, 14",0.09628436764590977
2014-08-13,83.0585,83.4704,82.7728,83.2855,7645775,7645775,0.504301,0.609,83.1906,"Aug 13, 14",0.10296289135182166
2014-08-14,83.2939,83.4452,82.8736,83.2855,6547528,6547528,0,0,83.1408,"Aug 14, 14",0.10296289135182166
2014-08-15,83.4116,83.5712,82.487,83.235,9234925,9234925,-0.05043,-0.061,83.1296,"Aug 15, 14",0.10229411196029171
2014-08-18,83.4452,83.6553,83.2897,83.6469,7143392,7143392,0.411846,0.495,83.5018,"Aug 18, 14",0.10774896802704785
2014-08-19,83.6301,84.0083,83.5712,83.6217,8888327,8888327,-0.025213,-0.03,83.725,"Aug 19, 14",0.1074152404890963
2014-08-20,83.6721,83.9663,83.2435,83.7982,6753128,6753128,0.176504,0.211,83.6058,"Aug 20, 14",0.109752657570384
2014-08-21,83.8822,84.1092,83.4284,83.4452,6826246,6826246,-0.353013,-0.421,83.724,"Aug 21, 14",0.10507782340780843
2014-08-22,83.1174,83.193,82.4366,82.7896,8096103,8096103,-0.655592,-0.786,82.7836,"Aug 22, 14",0.09639561015856021
2014-08-25,83.0501,83.1258,82.7896,82.9997,7570029,7570029,0.210128,0.254,82.9688,"Aug 25, 14",0.09917799729045028
2014-08-26,83.3107,84.3109,83.2266,83.7478,8536472,8536472,0.748045,0.901,83.8837,"Aug 26, 14",0.10908520249448089
2014-08-27,83.8654,84.0167,83.2855,83.6553,5849223,5849223,-0.092453,-0.11,83.6412,"Aug 27, 14",0.10786021053969831
2014-08-28,83.2435,83.8318,83.2182,83.6889,6072738,6072738,0.033621,0.04,83.6049,"Aug 28, 14",0.1083051805903005
2014-08-29,83.5292,83.773,82.9745,83.5965,8873707,8873707,-0.092457,-0.11,83.4434,"Aug 29, 14",0.10708151295114475
2014-09-02,83.5712,83.7057,82.2096,82.7812,8966533,8966533,-0.815287,-0.975,82.6875,"Sep 2, 14",0.09628436764590977
2014-09-03,83.0922,83.7057,83.0922,83.3023,8481019,8481019,0.52111,0.63,83.4236,"Sep 3, 14",0.10318537637712275
2014-09-04,83.2098,83.5881,82.3441,82.6719,9662876,9662876,-0.630375,-0.757,82.9004,"Sep 4, 14",0.09483689066582608
2014-09-05,82.9913,83.462,82.4618,83.4284,9486572,9486572,0.756451,0.915,83.1464,"Sep 5, 14",0.10485533838250734
2014-09-08,83.1426,83.1426,81.9071,82.176,10080099,10080099,-1.2524,-1.501,82.2769,"Sep 8, 14",0.08826960947256485
2014-09-09,82.1088,82.3945,81.4952,81.8566,9762259,9762259,-0.319392,-0.389,81.9228,"Sep 9, 14",0.08403974536059128
2014-09-10,81.8314,81.9743,80.5454,81.3691,12113689,12113689,-0.487491,-0.596,81.1506,"Sep 10, 14",0.07758370667998049
2014-09-11,80.9573,81.6297,80.537,81.554,10181311,10181311,0.184912,0.227,81.2488,"Sep 11, 14",0.08003236627391883
2014-09-12,81.1338,81.1842,80.3773,80.5034,10270116,10270116,-1.0506,-1.288,80.6496,"Sep 12, 14",0.0661191062988424
2014-09-15,80.4614,81.0245,80.184,80.9321,10694860,10694860,0.428655,0.532,80.7105,"Sep 15, 14",0.07179644739089965
2014-09-16,80.8816,82.4114,80.7051,81.8902,11582529,11582529,0.958176,1.184,81.877,"Sep 16, 14",0.08448471541119329
2014-09-17,82.2937,82.3105,81.3607,81.5961,8777778,8777778,-0.294176,-0.359,81.7324,"Sep 17, 14",0.0805899031527983
2014-09-18,81.6549,81.7978,81.0918,81.201,8636631,8636631,-0.395036,-0.484,81.3265,"Sep 18, 14",0.07535753211134308
2014-09-19,81.5961,81.9995,81.4154,81.6297,18178477,18178477,0.428653,0.528,81.7374,"Sep 19, 14",0.0810348732034003
2014-09-22,81.4448,81.5288,80.9153,81.1422,8824870,8824870,-0.487488,-0.597,81.1242,"Sep 22, 14",0.07457883452278952
2014-09-23,80.9237,81.6633,80.7135,80.7135,10300659,10300659,-0.42866,-0.528,81.0286,"Sep 23, 14",0.06890149343073229
2014-09-24,80.5791,80.8985,79.7133,80.537,12200003,12200003,-0.176507,-0.219,80.2478,"Sep 24, 14",0.0665640763494446
2014-09-25,80.4026,80.5959,79.1756,79.2174,12854240,12854240,-1.3196,-1.638,79.5987,"Sep 25, 14",0.049088407338297724
2014-09-26,79.2847,80.4866,78.8392,80.2092,11256807,11256807,0.991793,1.252,79.8952,"Sep 26, 14",0.0622229697248204
2014-09-29,79.6041,79.6629,78.8392,79.3687,14023092,14023092,-0.840504,-1.048,79.2553,"Sep 29, 14",0.05109209688163405
2014-09-30,79.0998,79.6881,78.6879,79.0493,15579333,15579333,-0.319392,-0.402,79.0818,"Sep 30, 14",0.04686223276966049
2014-10-01,79.0998,79.4612,77.9273,78.0491,14028600,14028600,-1.0002,-1.265,78.5602,"Oct 1, 14",0.03361642787048717
